,x,z,spin_rate,release_velo,release_x,release_y,release_z,pfx_x,pfx_z,extension,ump,catcherid,ball_count,strike_count,baserunner_count,out_count,baserunner_on_first,baserunner_on_second,baserunner_on_third,pitch_type_CB,pitch_type_CH,pitch_type_CT,pitch_type_FF,pitch_type_SL
362,14.07658278,21.74456319,2546.839948,94.90086263,-3.49,54.09,4.97,-8.22,8.03,6.407,20,6,1,1,1,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
363,-1.115318469,22.00928152,2804.790771,78.30855779,-3.27,54.83,5.46,5.31,-4.07,5.667000000000001,2,1,1,1,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
364,8.866940654,23.84242501,2772.870694,80.50979084,-3.44,54.65,5.34,5.63,-3.38,5.849,32,1,2,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
365,3.3344992560000004,12.92340229,2534.113041,93.9213834,-3.65,54.57,5.21,-9.58,8.67,5.926,39,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
366,-10.49664573,43.1392515,2306.788847,95.71022811,-3.55,54.65,5.0,-6.78,6.88,5.851,48,6,2,1,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
367,-12.98716434,29.77143997,2349.394574,85.39847487,-3.66,54.71,5.07,0.48,1.08,5.7860000000000005,4,6,1,1,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
368,9.767687008,20.13783894,2324.102316,92.54841729,-3.5,54.54,5.05,-8.15,8.75,5.959,9,6,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
369,3.409707138,7.5004485789999995,1481.403625,83.85797126,-3.57,54.61,5.25,-9.91,3.94,5.892,3,6,1,2,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
370,12.54037654,5.3886016660000005,2366.9935579999997,88.13709814,-3.54,54.52,5.26,1.43,1.74,5.979,24,1,1,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
371,15.2654004,19.96959516,2529.286669,93.64945138,-3.34,54.44,5.27,-7.79,10.15,6.06,2,1,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
372,-12.51592891,21.78310568,2323.251752,89.15322631,-3.83,54.81,4.99,0.34,3.49,5.686,4,6,1,2,2,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
373,-2.3890644009999997,43.90637709,2454.30517,95.39105136,-3.41,54.59,5.32,-10.41,8.15,5.905,53,1,2,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
374,-22.176099100000002,41.85584454,2561.773252,93.90230278,-3.82,54.53,4.98,-8.36,7.85,5.97,56,6,0,0,1,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
375,6.649129506,20.49537407,2507.9917140000002,94.66269627,-3.36,54.61,5.42,-7.68,7.13,5.895,4,6,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
376,5.543313347000001,29.22159646,2583.740153,96.30124981,-3.49,54.59,4.93,-9.96,8.05,5.9110000000000005,20,6,1,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
377,11.11201068,22.12772749,2287.801658,95.34206236,-3.51,54.53,5.2,-6.02,6.58,5.971,33,6,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
378,10.48856999,52.01924489,2466.0292329999997,94.51027917,-3.52,54.41,5.15,-7.1,7.54,6.0920000000000005,53,1,0,2,1,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
379,-26.38807196,35.66346188,2328.6886329999998,93.43196823,-3.6,54.63,5.28,-8.83,7.46,5.872999999999999,53,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
380,-6.670330625,26.65155541,2187.992244,84.54299459,-3.75,54.57,4.87,0.28,1.62,5.9270000000000005,53,1,2,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
381,0.17852703600000003,34.91042794,2280.631412,84.86810792,-3.65,54.59,5.0,-0.01,1.26,5.906000000000001,53,1,2,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
382,3.2784160000000004,19.92025902,2603.7997179999998,96.94990354,-3.6,54.64,5.11,-8.0,7.87,5.862,21,6,0,0,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
383,-16.05355571,31.71787078,1434.357084,83.07994521,-3.6,54.66,5.31,-8.01,-1.31,5.836,39,1,0,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
384,-8.939129966,24.32455738,2526.637234,93.98226494,-3.37,54.54,5.54,-8.78,9.12,5.956,33,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
385,7.272824482000001,19.64526887,2542.036489,94.30056499,-3.6,54.79,4.97,-6.18,8.19,5.71,33,6,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
386,9.622806012,24.56055102,2564.003715,93.44892483,-3.48,54.58,5.25,-9.53,8.36,5.922000000000001,14,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
387,17.65122457,32.05239805,2472.933772,89.35949466,-3.66,54.63,5.02,-1.69,4.73,5.8660000000000005,49,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
388,9.742735507999999,15.40662918,2585.3397879999998,95.24890592,-3.63,54.75,5.09,-7.11,7.57,5.755,16,1,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
389,3.3712765439999997,26.48542137,2778.606183,79.94043784,-3.13,54.85,5.67,5.45,-4.34,5.651,6,1,0,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
