,x,z,spin_rate,release_velo,release_x,release_y,release_z,pfx_x,pfx_z,extension,ump,catcherid,ball_count,strike_count,baserunner_count,out_count,baserunner_on_first,baserunner_on_second,baserunner_on_third,pitch_type_CB,pitch_type_CH,pitch_type_FF,pitch_type_FT,pitch_type_SL
586,12.52961164,25.55981826,2422.195504,90.87989454,-1.22,53.69,5.55,1.95,3.44,6.807,20,4,0,0,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
587,8.75917836,55.70292751,2477.039287,96.55823494,-1.51,53.63,5.58,-2.96,10.13,6.867999999999999,17,10,0,0,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
588,5.930169733,38.56697676,2367.460113,94.30213923,-1.48,54.42,5.59,0.85,3.76,6.085,42,4,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
589,-13.52433197,41.95121997,2413.451424,90.56081769,-1.28,53.47,5.58,2.88,2.97,7.026,37,10,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
590,-1.307696279,38.68860783,2315.65718,93.76068961,-1.57,53.27,5.41,-0.11,3.17,7.227,42,4,2,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
591,13.18752681,23.95116585,2570.790999,97.84062756,-1.4,53.62,5.66,-4.03,12.02,6.88,46,10,1,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
592,10.29731713,14.68634931,2485.693223,93.19145706,-0.94,53.78,5.59,0.16,5.27,6.724,23,4,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
593,6.566351342999999,34.36593851,2360.038675,96.11912584,-1.35,53.68,5.71,-3.51,8.7,6.822,50,10,0,0,2,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
594,23.64991747,22.54730773,2425.303121,92.11190140000001,-0.74,53.61,5.65,2.17,3.97,6.885,25,4,0,1,3,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
595,4.631201803,19.79990752,2294.374527,95.86965617,-0.86,53.63,5.75,-4.48,11.77,6.87,35,4,0,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
596,11.35032026,30.31166717,2401.1306649999997,96.2622293,-0.79,53.85,5.58,-4.44,10.26,6.655,41,4,0,1,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
597,10.234520800000002,47.9059864,2311.281963,95.57984704,-1.35,53.74,5.42,-2.81,8.5,6.757000000000001,6,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
598,-14.45717652,46.72636152,2466.961526,96.66161536,-1.02,53.68,5.78,-4.2,9.72,6.824,53,4,1,2,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
599,-2.6781998469999997,32.52203783,1619.739751,88.52948933,-0.84,53.35,5.58,-8.65,3.47,7.148,25,4,0,0,2,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
600,20.68757473,14.27939199,2501.60651,93.68122524,-1.15,53.82,5.55,0.14,3.72,6.675,11,4,1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
601,17.29318105,25.41745731,2544.754865,92.44824933,-0.86,54.0,5.67,2.29,4.14,6.499,41,4,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
